WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
AFRO,BFA,BURKINA FASO,2024-01-08,,,2024,2
AFRO,BDI,BURUNDI,2024-01-08,0,0,2024,2
AFRO,CPV,CABO VERDE,2024-01-08,,,2024,2
AFRO,CMR,CAMEROON,2024-01-08,,,2024,2
AFRO,CAF,CENTRAL AFRICAN REPUBLIC,2024-01-08,,,2024,2
AFRO,TCD,CHAD,2024-01-08,,,2024,2
AFRO,COM,COMOROS,2024-01-08,,,2024,2
AFRO,COG,CONGO,2024-01-08,,,2024,2
AFRO,CIV,CÔTE D’IVOIRE,2024-01-08,,,2024,2
AFRO,COD,DEMOCRATIC REPUBLIC OF THE CONGO,2024-01-08,,,2024,2
AFRO,GNQ,EQUATORIAL GUINEA,2024-01-08,,,2024,2
AFRO,ERI,ERITREA,2024-01-08,,,2024,2
AFRO,SWZ,ESWATINI,2024-01-08,0,0,2024,2
AFRO,ETH,ETHIOPIA,2024-01-08,,,2024,2
AFRO,GAB,GABON,2024-01-08,,,2024,2
AFRO,GMB,GAMBIA,2024-01-08,,,2024,2
AFRO,GHA,GHANA,2024-01-08,,,2024,2
AFRO,GIN,GUINEA,2024-01-08,,,2024,2
AFRO,GNB,GUINEA-BISSAU,2024-01-08,,,2024,2
AFRO,KEN,KENYA,2024-01-08,,,2024,2
AFRO,LSO,LESOTHO,2024-01-08,,,2024,2
AFRO,LBR,LIBERIA,2024-01-08,,,2024,2
AFRO,MDG,MADAGASCAR,2024-01-08,0,0,2024,2
AFRO,MWI,MALAWI,2024-01-08,,,2024,2
AFRO,MLI,MALI,2024-01-08,0,0,2024,2
AFRO,MRT,MAURITANIA,2024-01-08,0,0,2024,2
AFRO,MUS,MAURITIUS,2024-01-08,14,2,2024,2
AFRO,MOZ,MOZAMBIQUE,2024-01-08,0,0,2024,2
AFRO,NAM,NAMIBIA,2024-01-08,3,0,2024,2
AFRO,NER,NIGER,2024-01-08,,,2024,2
AFRO,NGA,NIGERIA,2024-01-08,,,2024,2
AFRO,RWA,RWANDA,2024-01-08,0,0,2024,2
AFRO,STP,SAO TOME AND PRINCIPE,2024-01-08,,,2024,2
AFRO,SEN,SENEGAL,2024-01-08,,,2024,2
AFRO,SYC,SEYCHELLES,2024-01-08,,,2024,2
AFRO,SLE,SIERRA LEONE,2024-01-08,,,2024,2
AFRO,ZAF,SOUTH AFRICA,2024-01-08,,,2024,2
AFRO,SSD,SOUTH SUDAN,2024-01-08,,,2024,2
AFRO,TZA,UNITED REPUBLIC OF TANZANIA,2024-01-08,,,2024,2
AFRO,TGO,TOGO,2024-01-08,,,2024,2
AFRO,UGA,UGANDA,2024-01-08,,,2024,2
AFRO,ZMB,ZAMBIA,2024-01-08,,,2024,2
AFRO,ZWE,ZIMBABWE,2024-01-08,0,0,2024,2
AFRO,DZA,ALGERIA,2024-01-15,,,2024,3
AFRO,AGO,ANGOLA,2024-01-15,1,0,2024,3
AFRO,BEN,BENIN,2024-01-15,,,2024,3
AFRO,BWA,BOTSWANA,2024-01-15,0,0,2024,3
