WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
WPRO,NZL,NEW ZEALAND,2022-08-08,476,11,2022,32
WPRO,NZL,NEW ZEALAND,2022-08-15,393,6,2022,33
WPRO,NZL,NEW ZEALAND,2022-08-22,299,2,2022,34
WPRO,NZL,NEW ZEALAND,2022-08-29,248,8,2022,35
WPRO,NZL,NEW ZEALAND,2022-09-05,204,6,2022,36
WPRO,NZL,NEW ZEALAND,2022-09-12,166,6,2022,37
WPRO,NZL,NEW ZEALAND,2022-09-19,176,7,2022,38
WPRO,NZL,NEW ZEALAND,2022-09-26,138,6,2022,39
WPRO,NZL,NEW ZEALAND,2022-10-03,173,2,2022,40
WPRO,NZL,NEW ZEALAND,2022-10-10,265,8,2022,41
WPRO,NZL,NEW ZEALAND,2022-10-17,328,12,2022,42
WPRO,NZL,NEW ZEALAND,2022-10-24,334,8,2022,43
WPRO,NZL,NEW ZEALAND,2022-10-31,359,10,2022,44
WPRO,NZL,NEW ZEALAND,2022-11-07,347,10,2022,45
WPRO,NZL,NEW ZEALAND,2022-11-14,393,10,2022,46
WPRO,NZL,NEW ZEALAND,2022-11-21,397,11,2022,47
WPRO,NZL,NEW ZEALAND,2022-11-28,512,13,2022,48
WPRO,NZL,NEW ZEALAND,2022-12-05,576,14,2022,49
WPRO,NZL,NEW ZEALAND,2022-12-12,590,13,2022,50
WPRO,NZL,NEW ZEALAND,2022-12-19,558,12,2022,51
WPRO,NZL,NEW ZEALAND,2022-12-26,519,19,2022,52
WPRO,NZL,NEW ZEALAND,2023-01-02,417,8,2023,1
WPRO,NZL,NEW ZEALAND,2023-01-09,298,10,2023,2
WPRO,NZL,NEW ZEALAND,2023-01-16,256,5,2023,3
WPRO,NZL,NEW ZEALAND,2023-01-23,170,4,2023,4
WPRO,NZL,NEW ZEALAND,2023-01-30,153,8,2023,5
WPRO,NZL,NEW ZEALAND,2023-02-06,155,2,2023,6
WPRO,NZL,NEW ZEALAND,2023-02-13,141,6,2023,7
WPRO,NZL,NEW ZEALAND,2023-02-20,178,7,2023,8
WPRO,NZL,NEW ZEALAND,2023-02-27,202,9,2023,9
WPRO,NZL,NEW ZEALAND,2023-03-06,220,7,2023,10
WPRO,NZL,NEW ZEALAND,2023-03-13,223,10,2023,11
WPRO,NZL,NEW ZEALAND,2023-03-20,231,5,2023,12
WPRO,NZL,NEW ZEALAND,2023-03-27,258,8,2023,13
WPRO,NZL,NEW ZEALAND,2023-04-03,277,9,2023,14
WPRO,NZL,NEW ZEALAND,2023-04-10,313,11,2023,15
WPRO,NZL,NEW ZEALAND,2023-04-17,309,8,2023,16
WPRO,NZL,NEW ZEALAND,2023-04-24,260,7,2023,17
